Site,SampleType,Plot,SampleInterval,GFF_ID,Vol_mL,Vial_ID,RunSet,Abs_750_NoAcid,Abs_665_NoAcid,Abs_corr_NoAcid,Conc_ChlA_NoAcid,Abs_750_Acid,Abs_665_Acid,Abs_corr_Acid,Conc_CHLA_Acid,EstimatedChlA_ug_L,Notes
Dean Creek,Control,4,T2,55,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Control,5,T2,56,300,9,2,0.002,0.041,0.039,0.039,0.005,0.035,0.029,0.03,2.988505747,
Dean Creek,Control,5,T2,57,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Control,1,T2,170,200,7,1,0.006,0.041,0.035,0.035,0.015,0.039,0.024,0.024,4.022988506,
RBH Park,Control,1,T2,200,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Control,2,T2,208,378,11,1,0.005,0.052,0.048,0.048,0.013,0.047,0.034,0.034,2.919175333,
RBH Park,Control,2,T2,206,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Control,3,T2,204,200,14,1,-0.011,0.031,0.042,0.042,0.007,0.037,0.03,0.03,4.827586207,
RBH Park,Control,3,T2,207,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Control,4,T2,222,300,3,2,-0.002,0.034,0.035,0.035,-0.004,0.022,0.025,0.025,2.681992337,
RBH Park,Control,4,T2,224,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Control,5,T2,217,200,19,1,-0.009,0.03,0.039,0.039,0.01,0.04,0.029,0.029,4.482758621,
RBH Park,Control,5,T2,216,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Grab,1,T0,158,150,13,2,0.002,0.047,0.045,0.045,0.004,0.035,0.031,0.031,6.896551724,
Cabretta,Grab,1,T0,159,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Grab,2,T0,125,150,3,2,0.003,0.045,0.042,0.042,-0.003,0.027,0.03,0.028,6.436781609,
Cabretta,Grab,2,T0,124,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Grab,3,T0,121,200,17,1,0.003,0.065,0.062,0.061,0.002,0.047,0.045,0.043,7.011494253,
Cabretta,Grab,3,T0,120,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Grab,4,T0,135,170,14,1,0.004,0.049,0.046,0.045,0.003,0.036,0.033,0.03,6.085192698,
Cabretta,Grab,4,T0,134,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Grab,5,T0,115,150,2,2,0.004,0.042,0.038,0.038,-0.003,0.024,0.027,0.025,5.823754789,
Cabretta,Grab,5,T0,142,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Grab,1,T0,3,300,3,1,0.005,0.063,0.058,0.058,0.002,0.043,0.041,0.04,4.444444444,
Dean Creek,Grab,1,T0,4,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hole in filter; dup
Dean Creek,Grab,2,T0,22,300,14,1,0.004,0.059,0.055,0.055,0.004,0.041,0.037,0.037,4.214559387,
Dean Creek,Grab,2,T0,23,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Grab,3,T0,68,250,16,2,0.005,0.053,0.048,0.048,0.002,0.036,0.034,0.033,4.413793103,
Dean Creek,Grab,3,T0,69,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
